,Unnamed: 0,EMITENT_FULL_NAME,issuerid
13,13,"Открытое акционерное общество ""Донской завод радиодеталей"", , DZRD, Донской завод радиодеталей, ДЗРД, , , , ,донские заводы радиодетали ,донских заводов радиодеталей ,донским заводам радиодеталям ,донских заводы радиодетали ,донскими заводами радиодеталями ,донских заводах радиодеталях ,донская завод радиодеталь ,донской завода радиодетали ,донской заводу радиодетали ,донскую завод радиодеталь ,донской заводом радиодеталью ,донской заводе радиодетали ",14
14,14,"Открытое акционерное общество ""Левенгук"", , LVHK, Левенгук, levenhuk, , , , ,левенгуки ,левенгуков ,левенгукам ,левенгуков ,левенгуками ,левенгуках ,левенгук ,левенгука ,левенгуку ,левенгука ,левенгуком ,левенгуке ",15
15,15,"Открытое акционерное общество ""Липецкая энергосбытовая компания"", , LPSB, LPSBG, Липецкая энергосбытовая компания, Липецкая ЭСК, ЛЭСК, lesk, ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ,LPSBG ",16
16,16,"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала"", , MRKU                , Межрегиональная распределительная сетевая компания Урала, МРСК Урала, Россети Урал, rosseti ural, , ,межрегиональные распределительные сетевые компании уралы ,межрегиональных распределительных сетевых компаний уралов ,межрегиональным распределительным сетевым компаниям уралам ,межрегиональных распределительных сетевых компании уралы ,межрегиональными распределительными сетевыми компаниями уралами ,межрегиональных распределительных сетевых компаниях уралах ,межрегиональная распределительная сетевая компания урал ,межрегиональной распределительной сетевой компании урала ,межрегиональной распределительной сетевой компании уралу ,межрегиональную распределительную сетевую компанию урал ,межрегиональной распределительной сетевой компанией уралом ,межрегиональной распределительной сетевой компании урале ",17
17,17,"Открытое акционерное общество ""Мультисистема"", , MSST, Мультисистема, multisistema, , , , ,мультисистемы ,мультисистем ,мультисистемам ,мультисистемы ,мультисистемами ,мультисистемах ,мультисистема ,мультисистемы ,мультисистеме ,мультисистему ,мультисистемой ,мультисистеме ",18
18,18,"Открытое акционерное общество ""Научно-производственное объединение ""Физика"", , NPOF, Научно-производственное объединение ""Физика"", НПО ""Физика"", НПО Физика, npofizika, , ,научно-производственные объединения ""Физика"" ,научно-производственных объединений ""Физика"" ,научно-производственным объединениям ""Физика"" ,научно-производственных объединения ""Физика"" ,научно-производственными объединениями ""Физика"" ,научно-производственных объединениях ""Физика"" ,научно-производственное объединение ""Физика"" ,научно-производственного объединения ""Физика"" ,научно-производственному объединению ""Физика"" ,научно-производственное объединение ""Физика"" ,научно-производственным объединением ""Физика"" ,научно-производственном объединении ""Физика"" ",19
19,19,"Открытое акционерное общество ""Соликамский магниевый завод"", , MGNZ, MGNZG, Соликамский магниевый завод, ОАО ""СМЗ"", ОАО СМЗ, , ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ,MGNZG ",20
20,20,"Публичное  акционерное общество ""Русская Аквакультура"", , AQUA, Инаркт1Р1, Инарктика, Русская Аквакультура, inarctica, Русское море, ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ,Инаркт1Р1 ",21
21,21,"Публичное акционерное общество ""Абрау – Дюрсо"", , ABRD, Абрау – Дюрсо, abraudurso, Абрау Дюрсо, , , ,абрау – Дюрсо ,абрау – Дюрсо ,абрау – Дюрсо ,абрау – Дюрсо ,абрау – Дюрсо ,абрау – Дюрсо ,абрау – дюрсо ,абрау – дюрсо ,абрау – дюрсо ,абрау – дюрсо ,абрау – дюрсо ,абрау – дюрсо ",22
22,22,"Публичное акционерное общество ""Авиакомпания ""ЮТэйр"", , UTAR, , , , , , ,публичные акционерные общества ""авиакомпании ""ЮТэйр"" ,публичных акционерных обществ ""авиакомпаний ""ЮТэйр"" ,публичным акционерным обществам ""авиакомпаниям ""ЮТэйр"" ,публичных акционерных общества ""авиакомпании ""ЮТэйр"" ,публичными акционерными обществами ""авиакомпаниями ""ЮТэйр"" ,публичных акционерных обществах ""авиакомпаниях ""ЮТэйр"" ,публичное акционерное общество ""авиакомпания ""ЮТэйр"" ,публичного акционерного общества ""авиакомпании ""ЮТэйр"" ,публичному акционерному обществу ""авиакомпании ""ЮТэйр"" ,публичное акционерное общество ""авиакомпанию ""ЮТэйр"" ,публичным акционерным обществом ""авиакомпанией ""ЮТэйр"" ,публичном акционерном обществе ""авиакомпании ""ЮТэйр"" ",23
23,23,"Публичное акционерное общество ""Акрон"", AKRN, , акрон, Acron, , , , ,акроны ,акронов ,акронам ,акроны ,акронами ,акронах ,акрон ,акрона ,акрону ,акрон ,акроном ,акроне ",24
24,24,"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть"", BANE, , , , , , , ,публичные акционерные общества ""акционерные нефтяные компании ""Башнефть"" ,публичных акционерных обществ ""акционерных нефтяных компаний ""Башнефть"" ,публичным акционерным обществам ""акционерным нефтяным компаниям ""Башнефть"" ,публичных акционерных общества ""акционерных нефтяных компании ""Башнефть"" ,публичными акционерными обществами ""акционерными нефтяными компаниями ""Башнефть"" ,публичных акционерных обществах ""акционерных нефтяных компаниях ""Башнефть"" ,публичное акционерное общество ""акционерная нефтяная компания ""Башнефть"" ,публичного акционерного общества ""акционерной нефтяной компании ""Башнефть"" ,публичному акционерному обществу ""акционерной нефтяной компании ""Башнефть"" ,публичное акционерное общество ""акционерную нефтяную компанию ""Башнефть"" ,публичным акционерным обществом ""акционерной нефтяной компанией ""Башнефть"" ,публичном акционерном обществе ""акционерной нефтяной компании ""Башнефть"" ",25
25,25,"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система"", AFKS, , АФК Система, Система, , , , ,АФК системы ,АФК систем ,АФК системам ,АФК системы ,АФК системами ,АФК системах ,АФК система ,АФК системы ,АФК системе ,АФК систему ,АФК системой ,АФК системе ",26
26,26,"Публичное акционерное общество ""АЛРОСА-Нюрба"", ALNU, , Алроса, Alrosa, , , , ,Алроса ,Алроса ,Алроса ,Алроса ,Алроса ,Алроса ,алрос ,алроса ,алросу ,алрос ,алросом ,алросе ",27
27,27,"Публичное акционерное общество ""Аптечная сеть 36,6"", APTK, , , , , , , ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ,APTK ",28
28,28,"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ"", , ACKO, , , , , , ,публичные акционерные общества ""АСКО-СТРАХОВАНИЕ"" ,публичных акционерных обществ ""АСКО-СТРАХОВАНИЕ"" ,публичным акционерным обществам ""АСКО-СТРАХОВАНИЕ"" ,публичных акционерных общества ""АСКО-СТРАХОВАНИЕ"" ,публичными акционерными обществами ""АСКО-СТРАХОВАНИЕ"" ,публичных акционерных обществах ""АСКО-СТРАХОВАНИЕ"" ,публичное акционерное общество ""АСКО-СТРАХОВАНИЕ"" ,публичного акционерного общества ""АСКО-СТРАХОВАНИЕ"" ,публичному акционерному обществу ""АСКО-СТРАХОВАНИЕ"" ,публичное акционерное общество ""АСКО-СТРАХОВАНИЕ"" ,публичным акционерным обществом ""АСКО-СТРАХОВАНИЕ"" ,публичном акционерном обществе ""АСКО-СТРАХОВАНИЕ"" ",29
29,29,"Публичное акционерное общество ""Астраханская энергосбытовая компания"", , ASSB, Астраханская ЭСБ, , , , , ,астраханские ЭСБ ,астраханских ЭСБ ,астраханским ЭСБ ,астраханских ЭСБ ,астраханскими ЭСБ ,астраханских ЭСБ ,астраханская ЭСБ ,астраханской ЭСБ ,астраханской ЭСБ ,астраханскую ЭСБ ,астраханской ЭСБ ,астраханской ЭСБ ",30
30,30,"Публичное акционерное общество ""Ашинский металлургический завод"", AMEZ, , , , , , , ,публичные акционерные общества ""ашинские металлургические завод"" ,публичных акционерных обществ ""ашинских металлургических завод"" ,публичным акционерным обществам ""ашинским металлургическим завод"" ,публичных акционерных общества ""ашинских металлургических завод"" ,публичными акционерными обществами ""ашинскими металлургическими завод"" ,публичных акционерных обществах ""ашинских металлургических завод"" ,публичное акционерное общество ""ашинский металлургический завод"" ,публичного акционерного общества ""ашинского металлургического завод"" ,публичному акционерному обществу ""ашинскому металлургическому завод"" ,публичное акционерное общество ""ашинского металлургического завод"" ,публичным акционерным обществом ""ашинским металлургическим завод"" ,публичном акционерном обществе ""ашинском металлургическом завод"" ",31
31,31,"Публичное акционерное общество ""Аэрофлот – российские авиалинии"", AFLT, , Аэрофлот, Aeroflot, , , , ,аэрофлоты ,аэрофлотов ,аэрофлотам ,аэрофлоты ,аэрофлотами ,аэрофлотах ,аэрофлот ,аэрофлота ,аэрофлоту ,аэрофлот ,аэрофлотом ,аэрофлоте ",32
32,32,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ"", BSPB, , Банк Санкт-Петербург, БСПБ, Банк Петербург, СПБ Банк, , ,банки санкт-петербурги ,банков санкт-петербургов ,банкам санкт-петербургам ,банки санкт-петербурги ,банками санкт-петербургами ,банках санкт-петербургах ,банк санкт-петербург ,банка санкт-петербурга ,банку санкт-петербургу ,банк санкт-петербург ,банком санкт-петербургом ,банке санкт-петербурге ",33
33,33,"Публичное акционерное общество ""БАНК УРАЛСИБ"", , USBN, , , , , , ,публичные акционерные общества ""банки УРАЛСИБ"" ,публичных акционерных обществ ""банков УРАЛСИБ"" ,публичным акционерным обществам ""банкам УРАЛСИБ"" ,публичных акционерных общества ""банки УРАЛСИБ"" ,публичными акционерными обществами ""банками УРАЛСИБ"" ,публичных акционерных обществах ""банках УРАЛСИБ"" ,публичное акционерное общество ""банк УРАЛСИБ"" ,публичного акционерного общества ""банка УРАЛСИБ"" ,публичному акционерному обществу ""банку УРАЛСИБ"" ,публичное акционерное общество ""банк УРАЛСИБ"" ,публичным акционерным обществом ""банком УРАЛСИБ"" ,публичном акционерном обществе ""банке УРАЛСИБ"" ",34
34,34,"Публичное акционерное общество ""Башинформсвязь"", , BISV                , , , , , , ,публичные акционерные общества ""Башинформсвязь"" ,публичных акционерных обществ ""Башинформсвязь"" ,публичным акционерным обществам ""Башинформсвязь"" ,публичных акционерных общества ""Башинформсвязь"" ,публичными акционерными обществами ""Башинформсвязь"" ,публичных акционерных обществах ""Башинформсвязь"" ,публичное акционерное общество ""Башинформсвязь"" ,публичного акционерного общества ""Башинформсвязь"" ,публичному акционерному обществу ""Башинформсвязь"" ,публичное акционерное общество ""Башинформсвязь"" ,публичным акционерным обществом ""Башинформсвязь"" ,публичном акционерном обществе ""Башинформсвязь"" ",35
35,35,"Публичное акционерное общество ""Белуга Групп"", BELU, , Белуга, Beluga, , , , ,белуги ,белуг ,белугам ,белуг ,белугами ,белугах ,белуга ,белуги ,белуге ,белугу ,белугой ,белуге ",36
36,36,"Публичное акционерное общество ""Бест Эффортс Банк"", , ALBK, , , , , , ,публичные акционерные общества ""бесты эффортсы Банк"" ,публичных акционерных обществ ""бестов эффортсов Банк"" ,публичным акционерным обществам ""бестам эффортсам Банк"" ,публичных акционерных общества ""бесты эффортсов Банк"" ,публичными акционерными обществами ""бестами эффортсами Банк"" ,публичных акционерных обществах ""бестах эффортсах Банк"" ,публичное акционерное общество ""бест эффортс Банк"" ,публичного акционерного общества ""беста эффортса Банк"" ,публичному акционерному обществу ""бесту эффортсу Банк"" ,публичное акционерное общество ""бест эффортса Банк"" ,публичным акционерным обществом ""бестом эффортсом Банк"" ,публичном акционерном обществе ""бесте эффортсе Банк"" ",37
37,37,"Публичное акционерное общество ""Бурятзолото"", , BRZL, , , , , , ,публичные акционерные общества ""Бурятзолото"" ,публичных акционерных обществ ""Бурятзолото"" ,публичным акционерным обществам ""Бурятзолото"" ,публичных акционерных общества ""Бурятзолото"" ,публичными акционерными обществами ""Бурятзолото"" ,публичных акционерных обществах ""Бурятзолото"" ,публичное акционерное общество ""Бурятзолото"" ,публичного акционерного общества ""Бурятзолото"" ,публичному акционерному обществу ""Бурятзолото"" ,публичное акционерное общество ""Бурятзолото"" ,публичным акционерным обществом ""Бурятзолото"" ,публичном акционерном обществе ""Бурятзолото"" ",38
38,38,"Публичное акционерное общество ""Варьеганнефтегаз"", , VJGZ, , , , , , ,публичные акционерные общества ""Варьеганнефтегаз"" ,публичных акционерных обществ ""Варьеганнефтегаз"" ,публичным акционерным обществам ""Варьеганнефтегаз"" ,публичных акционерных общества ""Варьеганнефтегаз"" ,публичными акционерными обществами ""Варьеганнефтегаз"" ,публичных акционерных обществах ""Варьеганнефтегаз"" ,публичное акционерное общество ""Варьеганнефтегаз"" ,публичного акционерного общества ""Варьеганнефтегаз"" ,публичному акционерному обществу ""Варьеганнефтегаз"" ,публичное акционерное общество ""Варьеганнефтегаз"" ,публичным акционерным обществом ""Варьеганнефтегаз"" ,публичном акционерном обществе ""Варьеганнефтегаз"" ",39
39,39,"Публичное акционерное общество ""Владимирский химический завод"", VLHZ, , , , , , , ,публичные акционерные общества ""владимирские химические завод"" ,публичных акционерных обществ ""владимирских химических завод"" ,публичным акционерным обществам ""владимирским химическим завод"" ,публичных акционерных общества ""владимирских химических завод"" ,публичными акционерными обществами ""владимирскими химическими завод"" ,публичных акционерных обществах ""владимирских химических завод"" ,публичное акционерное общество ""владимирский химический завод"" ,публичного акционерного общества ""владимирского химического завод"" ,публичному акционерному обществу ""владимирскому химическому завод"" ,публичное акционерное общество ""владимирского химического завод"" ,публичным акционерным обществом ""владимирским химическим завод"" ,публичном акционерном обществе ""владимирском химическом завод"" ",40
40,40,"Публичное акционерное общество ""Волгоградэнергосбыт"", VGSB, , , , , , , ,публичные акционерные общества ""Волгоградэнергосбыт"" ,публичных акционерных обществ ""Волгоградэнергосбыт"" ,публичным акционерным обществам ""Волгоградэнергосбыт"" ,публичных акционерных общества ""Волгоградэнергосбыт"" ,публичными акционерными обществами ""Волгоградэнергосбыт"" ,публичных акционерных обществах ""Волгоградэнергосбыт"" ,публичное акционерное общество ""Волгоградэнергосбыт"" ,публичного акционерного общества ""Волгоградэнергосбыт"" ,публичному акционерному обществу ""Волгоградэнергосбыт"" ,публичное акционерное общество ""Волгоградэнергосбыт"" ,публичным акционерным обществом ""Волгоградэнергосбыт"" ,публичном акционерном обществе ""Волгоградэнергосбыт"" ",41
41,41,"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии"", , OGKB                , , , , , , ,публичные акционерные общества ""вторые генерирующие компании оптовые рынки электроэнергии"" ,публичных акционерных обществ ""вторых генерирующих компаний оптовых рынков электроэнергии"" ,публичным акционерным обществам ""вторым генерирующим компаниям оптовым рынкам электроэнергии"" ,публичных акционерных общества ""вторые генерирующих компании оптовых рынки электроэнергии"" ,публичными акционерными обществами ""вторыми генерирующими компаниями оптовыми рынками электроэнергии"" ,публичных акционерных обществах ""вторых генерирующих компаниях оптовых рынках электроэнергии"" ,публичное акционерное общество ""вторая генерирующая компания оптовый рынок электроэнергии"" ,публичного акционерного общества ""второй генерирующей компании оптового рынка электроэнергии"" ,публичному акционерному обществу ""второй генерирующей компании оптовому рынку электроэнергии"" ,публичное акционерное общество ""вторую генерирующую компанию оптового рынок электроэнергии"" ,публичным акционерным обществом ""второй генерирующей компанией оптовым рынком электроэнергии"" ,публичном акционерном обществе ""второй генерирующей компании оптовом рынке электроэнергии"" ",42
42,42,"Публичное акционерное общество ""Выборгский судостроительный завод"", VSYD, , , , , , , ,публичные акционерные общества ""выборгские судостроительные завод"" ,публичных акционерных обществ ""выборгских судостроительных завод"" ,публичным акционерным обществам ""выборгским судостроительным завод"" ,публичных акционерных общества ""выборгских судостроительных завод"" ,публичными акционерными обществами ""выборгскими судостроительными завод"" ,публичных акционерных обществах ""выборгских судостроительных завод"" ,публичное акционерное общество ""выборгский судостроительный завод"" ,публичного акционерного общества ""выборгского судостроительного завод"" ,публичному акционерному обществу ""выборгскому судостроительному завод"" ,публичное акционерное общество ""выборгского судостроительного завод"" ,публичным акционерным обществом ""выборгским судостроительным завод"" ,публичном акционерном обществе ""выборгском судостроительном завод"" ",43
43,43,"Публичное акционерное общество ""ГАЗ"", , GAZA                , группа ""ГАЗ"", группа ГАЗ, ПАО Газ, ПАО ""Газ"", , ,группы ""ГАЗ"" ,групп ""ГАЗ"" ,группам ""ГАЗ"" ,группы ""ГАЗ"" ,группами ""ГАЗ"" ,группах ""ГАЗ"" ,группа ""ГАЗ"" ,группы ""ГАЗ"" ,группе ""ГАЗ"" ,группу ""ГАЗ"" ,группой ""ГАЗ"" ,группе ""ГАЗ"" ",44
44,44,"Публичное акционерное общество ""ГАЗКОН"", , GAZC, газкон, газкон-ао, , , , ,газконы ,газконов ,газконам ,газконы ,газконами ,газконах ,газкон ,газкона ,газкону ,газкон ,газконом ,газконе ",45
45,45,"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону"", , RTGZ, ПАО ""Газпром газораспределение Ростов-на-Дону"", rostovoblgaz, Газпром РнД, Ростовоблгаз, , ,ПАО ""газпромы газораспределения Ростов-на-Дону"" ,ПАО ""газпромов газораспределений Ростов-на-Дону"" ,ПАО ""газпромам газораспределениям Ростов-на-Дону"" ,ПАО ""газпромы газораспределения Ростов-на-Дону"" ,ПАО ""газпромами газораспределениями Ростов-на-Дону"" ,ПАО ""газпромах газораспределениях Ростов-на-Дону"" ,ПАО ""газпром газораспределение Ростов-на-Дону"" ,ПАО ""газпрома газораспределения Ростов-на-Дону"" ,ПАО ""газпрому газораспределению Ростов-на-Дону"" ,ПАО ""газпром газораспределение Ростов-на-Дону"" ,ПАО ""газпромом газораспределением Ростов-на-Дону"" ,ПАО ""газпроме газораспределении Ростов-на-Дону"" ",46
46,46,"Публичное акционерное общество ""Газпром нефть"", SIBN, , ПАО ""Газпром нефть"", Газпром нефть, Gazprom Neft, , , ,ПАО ""газпромы нефть"" ,ПАО ""газпромов нефть"" ,ПАО ""газпромам нефть"" ,ПАО ""газпромы нефть"" ,ПАО ""газпромами нефть"" ,ПАО ""газпромах нефть"" ,ПАО ""газпром нефть"" ,ПАО ""газпрома нефть"" ,ПАО ""газпрому нефть"" ,ПАО ""газпром нефть"" ,ПАО ""газпромом нефть"" ,ПАО ""газпроме нефть"" ",47
47,47,"Публичное акционерное общество ""Газпром"", GAZP, , ПАО ""Газпром"", Газпром, Gazprom, gazp, , ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ,ПАО ""Газпром"" ",48
48,48,"Публичное акционерное общество ""ГАЗ-сервис"", , GAZS, ПАО ""ГАЗ-сервис"", gas-service, , , , ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ,ПАО ""ГАЗ-сервис"" ",49
49,49,"Публичное акционерное общество ""ГАЗ-Тек"", , gazt, газ-тэк, gaz-tec, , , , ,газы-тэки ,газов-тэков ,газам-тэкам ,газы-тэки ,газами-тэками ,газах-тэках ,газ-тэк ,газа-тэка ,газу-тэку ,газ-тэк ,газом-тэком ,газе-тэке ",50
50,50,"Публичное акционерное общество ""ГЕОТЕК Сейсморазведка"", , GTSS, геотек, gseis, ПАО «ГЕОТЕК Сейсморазведка», , , ,геотёкшие ,геотёкших ,геотёкшим ,геотёкших ,геотёкшими ,геотёкших ,геотёкший ,геотёкшего ,геотёкшему ,геотёкшего ,геотёкшим ,геотёкшем ",51
51,51,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ"", , GTRK                , Глобалтрак, Globaltruck, , , , ,глобалтраки ,глобалтраков ,глобалтракам ,глобалтраки ,глобалтраками ,глобалтраках ,глобалтрак ,глобалтрака ,глобалтраку ,глобалтрак ,глобалтраком ,глобалтраке ",52
52,52,"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель"", GMKN, , Норникель, ПАО ""Горно-металлургическая компания ""Норильский никель"", ПАО ""ГМК ""Норильский никель"", Nornickel , Норильский никель, ,норникели ,норникелей ,норникелям ,норникели ,норникелями ,норникелях ,норникель ,норникеля ,норникелю ,норникель ,норникелем ,норникеле ",53
53,53,"Публичное акционерное общество ""Городские Инновационные Технологии"", , GRNT, ПАО «Городские Инновационные Технологии, ПАО ""ГИТ"", Городские Инновационные Технологии, ГИТ, , ,ПАО «городские инновационные технологии ,ПАО «городских инновационных технологий ,ПАО «городским инновационным технологиям ,ПАО «городских инновационных технологии ,ПАО «городскими инновационными технологиями ,ПАО «городских инновационных технологиях ,ПАО «городской инновационный технология ,ПАО «городского инновационного технологии ,ПАО «городскому инновационному технологии ,ПАО «городскую инновационную технологию ,ПАО «городским инновационным технологией ,ПАО «городском инновационном технологии ",54
54,54,"Публичное акционерное общество ""Группа Компаний  ""Роллман"", , RLMN, Роллман, Rollman, , , , ,роллманы ,роллманов ,роллманам ,роллманов ,роллманами ,роллманах ,роллман ,роллмана ,роллману ,роллмана ,роллманом ,роллмане ",55
55,55,"публичное акционерное общество ""Группа компаний ""Самолет"", SMLT, , Самолет, Samolet, группа самолет, , , ,самолёты ,самолётов ,самолётам ,самолёты ,самолётами ,самолётах ,самолёт ,самолёта ,самолёту ,самолёт ,самолётом ,самолёте ",56
56,56,"Публичное акционерное общество ""Группа ЛСР"", LSRG, , ЛСР, , , , , ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ,ЛСР ",57
57,57,"Публичное акционерное общество ""Группа Черкизово"", GCHE, , Черкизово, Cherkizovo, , , , ,черкизовые ,черкизовых ,черкизовым ,черкизовых ,черкизовыми ,черкизовых ,черкизовое ,черкизового ,черкизовому ,черкизовое ,черкизовым ,черкизовом ",58
58,58,"Публичное акционерное общество ""Дагестанская энергосбытовая компания"", , DASB, ДагСб, Дагестанэнергосбыт, Dagestanskaya Energosbytovaya, , , ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ,дагсб ",59
59,59,"Публичное акционерное общество ""Дальневосточная энергетическая компания"", , DVEC, ДЭК, Дальневосточная энергетическая компания, , , , ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ,ДЭК ",60
60,60,"Публичное акционерное общество ""Дальневосточное морское пароходство"", , FESH                , ДВМП, FESCO, Дальневосточное морское пароходство, , , ,двмпы ,двмпов ,двмпам ,двмпы ,двмпами ,двмпах ,двмп ,двмпа ,двмпу ,двмп ,двмпом ,двмпе ",61
